,,,,,,
Albany Institute of History & Art 125 Washington Avenue Albany,,,NY,12210-2202,518.463.4478,www.albanyinstitute.org
Albright-Knox Art Gallery 1285 Elmwood Avenue Buffalo,,,NY,14222-1003,716.882.8700,www.albrightknox.org
Arnot Art Museum 235 Lake Street Elmira,,,NY,14901-3118,607.734.3697,www.arnotartmusuem.org
The New-York  Historical Society 170 Central Park West New York,,,NY,10024-5152,212.873.3400,www.nyhistory.org
Shaker Museum and Library 88 Shaker Museum Road,,Old Chatham,NY,12136-2601,518.794.9100,www.shakermuseumandlibrary.org
