Title,Author,Level List,Own,Read,ISBN,Lexile
Nate the Great,"Sharmat, Marjorie Weinman  and Marc Simont",K-3,,,,
Not a Box,"Portis, Antoinette",K-3,,,,
Number the Stars,"Lowry, Lois",4-6,,,,
Paul Revere’s Ride,"Longfellow, Henry Wadsworth",K-3,,,,
Peppe the Lamplighter,"Bartone, Elisa",K-3,,,,
Petunia,"Duvoisin, Roger",K-3,,,,
Pippi Longstocking,"Lindgren, Astrid",4-6,,,,
Poppy,Avi and Brian Floca,4-6,,,,
Prydain Chronicles,"Alexander, Lloyd",4-6,,,,
Put Me in the Zoo,"Lopshire, Robert",K-3,,,,
Rabbit Hill,"Lawson, Robert",K-3,,,,
"Ramona Quimby, Age 8","Cleary, Beverly",K-3,,,,
Rascal,"North, Sterling",4-6,,,,
Read-Aloud Rhymes for the Very Young,"Prelutsky, Jack and Marc Brown",K-3,,,,
Rip Van Winkle,"Irving, Washington",4-6,,,,
Ruby's Wish,"Bridges, Shirin Yim",K-3,,,,
Saint George and the Dragon,"Hodges, Margaret and Trina Schart Hyman",K-3,,,,
Sam the Minuteman,"Benchley, Nathaniel",K-3,,,,
"Sarah, Plain and Tall","MacLachlan, Patricia",4-6,,,,
Secret of Platform 13,"Ibbotson, Eva and Sue Porter",4-6,,,,
Shiloh,"Naylor, Phyllis Reynolds",K-3,,,,
Stellaluna,"Cannon, Janell",K-3,,,,
Stone Soup,"Brown, Marcia",K-3,,,,
Strawberry Girl,"Lenski, Lois",4-6,,,,
Strawberry Hill,"Hoberman, Mary Ann andWendy Anderson Halperin",4-6,,,,
Strega Nona,"DePaola, Tomie",K-3,,,,
Swiss Family Robinson,"Wyss, Johann",4-6,,,,
Sylvester and the Magic Pebble,"Steig, William",K-3,,,,
Tale of Despereaux,"DiCamillo, Kate",K-3,,,,
Tales from Shakespeare,"Lamb, Charles and Mary",4-6,,,,
Tar Beach,"Ringgold, Faith",K-3,,,,
The Adventures of Pinocchio,"Collodi, Carlo",4-6,,,,
The Birchbark House,"Erdrich, Louise",4-6,,,,
The Black Stallion,"Farley, Walter",4-6,,,,
The Borrowers,"Norton, Mary",4-6,,,,
The Cabin Faced West,"Fritz, Jean",K-3,,,,
The Carrot Seed,"Krauss, Ruth and Crockett Johnson",K-3,,,,
The Cat in the Hat,"Seuss, Dr.",K-3,,,,
The Children of Green Knowe,"Boston, L.M.",4-6,,,,
The Chronicles of Narnia,"Lewis, C.S.",4-6,,,,
The City of Ember,"DuPrau, Jeanne",4-6,,,,
The Complete Fairy Tales,"Perrault, Charles",4-6,,,,
The Complete Grimm’s Fairy Tales,"Grimm, Jacob and Wilhelm",4-6,,,,
The Cricket in Times Square,"Selden, George",K-3,,,,
The Dark is Rising,"Cooper, Susan",4-6,,,,
The Day Jimmy’s Boa Ate the Wash,"Noble, Trinka Hakes and  Steven Kellogg",K-3,,,,
The Dot,"Reynolds, Peter",K-3,,,,
The Dream Keeper and Other Poems,"Hughes, Langston",4-6,,,,
The Garden of Abdul Gasazi,"Van Allsburg, Chris",K-3,,,,
The Great Fire,"Murphy, Jim",4-6,,,,
The Hundred Dresses,"Estes, Eleanor and Louis Slobodkin",K-3,,,,
The Hundred Penny Box,"Mathis, Sharon Bell andLeo & Diane Dillon",4-6,,,,
The Invention of Hugo Cabret,"Selznick, Brian",4-6, ,,,
The Jungle Book,"Kipling, Rudyard",4-6,,,,
The Little Engine that Could,"Piper, Watty and Loren Long",K-3,,,,
The Littles,"Peterson, John",K-3,,,,
The London Eye Mystery,"Dowd, Siobhan",4-6,,,,
The Moffats,"Estes, Eleanor",4-6,,,,
The Mouse and the Motorcycle,"Cleary, Beverly",K-3,,,,
The Mysterious Benedict Society,"Stewart, Trenton Lee andCarson Ellis",4-6,,,,
The Napping House,"Wood, Audrey and Don Wood",K-3,,,,
The Paper Bag Princess,"Munsch, Robert and  Michael Martchenko",K-3,,,,
"The Penderwicks: A Summer Tale of Four Sisters, Two Rabbits, and a Very Interesting Boy","Birdsall, Jeanne",4-6,,,,
The People Could Fly: American Black Folktales,"Hamilton, Virginia and  Leo & Diane Dillon",K-3,,,,
The Phantom Tollbooth,"Juster, Norton and Jules Feiffer",4-6,,,,
The Pushcart War,"Merrill, Jean",4-6,,,,
The Quiltmaker's Gift,"Brumbeau, Jeff",K-3,,,,
The Railway Children,"Nesbit, E.",4-6,,,,
The Reluctant Dragon,"Grahame, Kenneth and  Michael Hague",K-3,,,,
The Rescuers,"Sharp, Margery",4-6,,,,
The Secret Garden,"Burnett, Frances Hodgson",4-6,,,,
The Snowy Day,"Keats, Ezra Jack",K-3,,,,
The Stories Julian Tells,"Cameron, Ann and Ann Strugnell",K-3,,,,
"The Story of Babar, The Little Elephant","Brunhoff, Jean de",K-3,,,,
The Story of Ferdinand,"Leaf, Munro and Robert Lawson",K-3,,,,
The Summer of the Swans,"Byars, Betsy",4-6,,,,
The Tale of Peter Rabbit,"Potter, Beatrix",K-3,,,,
The True Story of the Three Little Pigs,"Scieszka, Jon and Lane Smith",K-3,,,,
The Upstairs Room,"Reiss, Johanna",4-6,,,,
The Wanderings of Odysseus,"Sutcliff, Rosemary",4-6,,,,
The Wind in the Willows,"Grahame, Kenneth",4-6,,,,
The Wonderful Wizard of Oz,"Baum, L. Frank",4-6,,,,
The Year of the Dog,"Lin, Grace",K-3,,,,
There is a Bird on Your Head!,"Willems, Mo",K-3,,,,
