Heading row not found.,ID,northing,easting
,319,1045338,213698
,320,1046638,212068
,321,1045823,213076
,322,1045926,212036
,323,1046785,211956
,324,1046214,210954
,325,1046539,210819
,326,1046289,212558
,327,1046394,211976
,328,1045822,212940
,329,1046002,212590
,330,1022058,147049
,331,1023057,147093
,332,1023099,146625
,333,1022554,148550
,334,1023064,148633
,335,1023410,148220
,336,1022376,148314
,337,1022398,147341
,338,1023235,147308
,339,1023126,148167
,340,1022104,147934
,341,1021849,147954
,342,1022792,147691
,343,1022880,148802
,344,1058460,184591
,345,1059709,183938
,346,1059042,185268
,347,1058224,183405
,348,1059725,186728
,349,1058799,185492
,350,1059633,186548
,351,1060195,187958
,352,1059077,184740
,353,1059093,184777
,354,1059236,185899
,355,1058728,183518
,356,1058890,182806
,357,1059530,186343
,358,1059132,182708
,359,1059377,184816
,360,1058223,182313
,361,1059126,184192
,362,1058587,184253
,363,1057864,183811
,364,1059616,184159
,365,1059385,185396
,366,1058008,184392
,367,1059289,183483
,368,1058673,183466
,369,1057516,182655
,370,1059642,186914
,371,1057859,184112
,372,1059061,184702
,373,1063291,207819
,374,1062006,209894
,375,1061746,209861
,376,1061834,207662
,377,1062043,205989
,378,1062759,207845
,379,1061607,207506
,380,1063637,205194
,381,1063736,206321
,382,1062691,205410
,383,1062971,206522
,384,1063026,206329
,385,1062879,205831
,386,1062019,207592
,387,1060980,209335
,388,1063650,205093
,389,1062877,207795
,390,1062127,204840
,391,1063214,205188
,392,1063036,205456
,393,1063265,204835
,394,1064239,204925
,395,1063959,205801
,396,1062039,209779
,397,1062850,204503
,398,1060123,207245
,399,1062657,204494
,400,1062354,206789
,401,1062264,205514
,402,1063503,206551
,403,1062608,205888
,404,1062043,207972
,405,1063058,207744
,406,1062213,209174
,407,1063347,205385
,408,1063222,204828
,409,1063970,204972
,410,1061523,207804
,411,1062278,209890
,412,1061668,206931
,413,1060044,207222
,414,1062356,208674
,415,1060434,207942
,416,1061503,208412
,417,1061555,207688
,418,1061848,206666
,419,1063645,206899
,420,1062400,206628
,421,1061654,207342
,422,1060207,208370
,423,1062442,207062
,424,1061010,208326
,425,1060578,207075
,426,1062969,208237
,427,1063268,205988
,428,1061918,207002
,429,1063015,206368
,430,1062587,209855
,431,1060026,207132
,432,1060678,207669
,433,1061653,209852
,434,1064044,206412
,435,1061811,205853
,436,1063963,206291
,437,1064346,204930
,438,1061620,209362
,439,1061578,209518
,440,1062635,208280
,441,1062951,208838
,442,1061826,205806
,443,1063514,206512
,444,1061665,205699
,445,1061241,205514
,446,1060963,204139
,447,1059129,203094
,448,1060439,205742
,449,1060501,205127
,450,1059211,203822
,451,1060234,204215
,452,1061710,204020
,453,1059469,204927
,454,1060462,204972
,455,1060380,206002
,456,1059206,203012
,457,1058834,204129
,458,1059527,205128
,459,1058966,204023
,460,1061061,204278
,461,1060524,204870
,462,1059772,204468
,463,1059351,204523
,464,1060438,204911
,465,1061200,205870
,466,1061672,205446
,467,1061062,204530
,468,1058952,203731
,469,1035712,199887
,470,1035350,199881
,471,1035304,199622
,472,1035762,199888
,473,1034329,199812
,474,1033988,200040
,475,1036058,199891
,476,1034287,199954
,477,1034311,200089
,478,1065693,213876
,479,1064779,212592
,480,1065784,214139
,481,1062650,214181
,482,1065961,213179
,483,1061818,214299
,484,1065469,213255
,485,1065535,213330
,486,1065958,214226
,487,1065722,214061
,488,1061812,214108
,489,1066096,213129
,490,1064741,212624
,491,1062107,214531
,492,1065793,214000
,493,1065572,213168
,494,1062036,214664
,495,1038078,201562
,496,1037600,201357
,497,1037443,201213
,498,1038320,201681
,499,1039609,201260
,500,1040103,202709
,501,1040258,202301
,502,1038961,201690
,503,1040000,201858
,504,1039269,201908
,505,1039847,200720
,506,1058613,186414
,507,1056785,185795
,508,1057187,185766
,509,1057480,186393
,510,1058704,186645
,511,1058628,186451
,512,1058748,186757
,513,1057389,186818
,514,1057103,186549
,515,1058481,186510
,516,1056802,186111
,517,1053407,187605
,518,1054161,187215
,519,,
,520,1053911,183422
,521,1055879,187096
,522,1053451,184333
,523,1053680,188521
,524,1055441,186317
,525,1055556,183917
,526,1055466,186376
,527,1053728,183697
,528,1054081,187075
,529,1053750,183254
,530,1054714,184743
,531,1054986,187913
,532,1054704,187239
,533,1053918,184103
,534,1055758,184230
,535,1055028,187320
,536,1056369,186245
,537,1053667,188490
,538,1055079,183942
,539,1054463,188325
,540,1053845,187043
,541,1054133,184554
,542,1056472,186489
,543,1054435,184765
,544,1053734,184322
,545,1055143,184379
,546,1054647,183094
,547,1054620,188380
,548,1055023,183890
,549,1053653,188391
,550,1056051,187093
,551,1056396,186982
,552,1053652,188865
,553,1056105,187219
,554,1054630,188403
,555,1056382,186277
,556,1054276,188404
,557,1053700,184250
,558,1055665,184032
,559,1054272,185269
,560,1053579,185065
,561,1056147,187734
,562,1054326,188126
,563,1055233,188240
,564,1054746,188008
,565,1053670,184893
,566,1053320,188073
,567,1054400,187194
,568,1056563,186704
,569,1053169,183970
,570,1053810,184801
,571,1054263,187948
,572,1055350,188108
,573,1053298,184618
,574,1053186,184006
,575,1054866,184241
,576,1054868,188041
,577,1057081,187528
,578,1053785,188511
,579,1054298,188614
,580,1053757,185044
,581,1054938,183710
,582,1056640,186889
,583,1054931,187860
,584,1056806,187547
,585,1053609,189200
,586,1055101,188661
,587,1059079,187610
,588,1056952,188176
,589,1056842,188221
